id,name,terminalName,lastCommWithServer,lat,long,installed,installDate,removalDate,temporary,public,capacity
124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,1.36837E+12,38.88412,-77.04657,TRUE,1.3319E+12,,FALSE,TRUE,23
125,11th & F St NW,31262,1.36837E+12,38.897857,-77.026975,TRUE,1.35998E+12,,TRUE,TRUE,15
126,23rd & E St NW ,31260,1.36837E+12,38.896104,-77.049882,TRUE,1.35965E+12,,FALSE,TRUE,18
127,Lynn & 19th St North,31014,1.36837E+12,38.897315,-77.070993,TRUE,1.30296E+12,,FALSE,TRUE,19
128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,1.36837E+12,38.8946,-77.072305,TRUE,1.30296E+12,,FALSE,TRUE,15
129,Clarendon Blvd & Pierce St,31016,1.36837E+12,38.893648,-77.076701,TRUE,1.30296E+12,,FALSE,TRUE,11
130,Court House Metro / Wilson Blvd & N Uhle St,31017,1.36837E+12,38.891696,-77.0846,TRUE,1.32093E+12,,FALSE,TRUE,15
131,N Rhodes & 16th St N,31018,1.36837E+12,38.892164,-77.079375,TRUE,1.30296E+12,,FALSE,TRUE,11
132,Fairfax Village,31706,1.36837E+12,38.86559,-76.952103,TRUE,1.31177E+12,,FALSE,TRUE,15
133,21st St & Constitution Ave NW,31261,1.36837E+12,38.892459,-77.046567,TRUE,1.35964E+12,,FALSE,TRUE,15
134,Wilson Blvd & N Edgewood St,31019,1.36837E+12,38.889,-77.0925,TRUE,1.32102E+12,,FALSE,TRUE,15
135,Columbia Rd & Belmont St NW,31113,1.36837E+12,38.920669,-77.04368,TRUE,1.32163E+12,,FALSE,TRUE,17
136,17th & Rhode Island Ave NW,31239,1.36837E+12,38.906602,-77.038785,TRUE,1.32164E+12,,FALSE,TRUE,23
137,Thomas Circle,31241,1.36837E+12,38.9059,-77.0325,TRUE,1.32171E+12,,FALSE,TRUE,31
138,Wilson Blvd & Franklin Rd,31020,1.36837E+12,38.8904,-77.0889,TRUE,1.32272E+12,,FALSE,TRUE,11
139,Clarendon Blvd & N Fillmore St,31021,1.36837E+12,38.8881,-77.09308,TRUE,1.32198E+12,,FALSE,TRUE,15
